alcaldia,superficie_km2,vocacion_principal,poblacion,pob_3ymas,p_12ymas,p_nacoe,P_vivoe,p_3ym_hli,p_3ym_hli_nhe,p_3ym_hli_he,p_afromex,p_12ym_solt,p_12ym_casada,p_12ym_sepa,p_catolica,p_crieva,p_otrasrel,p_sinrel,t_nacoe,t_vivoe,t_3ym_hli,t_3ym_hli_nhe,t_3ym_hli_he,t_afromex,t_12ym_solt,t_12ym_casada,t_12ym_sepa,t_catolica,t_crieva,t_otrasrel,t_sinrel,consumo_total,total_reportes,consumo_per_capita,densidad_poblacional
ALVARO OBREGON,96.17,Habitacional/Comercial,759137,737101,653085,123681,20301,8492,74,8322,16042,245501,312904,93468,608016,41833,2767,103417,16.292316143199447,2.6742208586855862,1.152080922424471,0.010039329752639,1.1290175973170569,2.1131890554669317,37.59097207867276,47.911680715373954,14.311766462252235,80.09305303258833,5.510599536052122,0.3644928385785438,13.622969240071292,9608545.2,22385,12.657195209823787,7893.698658625351
AZCAPOTZALCO,33.66,Industrial/Comercial,432205,420056,377144,79365,20545,3208,21,3159,8864,147260,171393,58399,335663,29623,2171,63846,18.362813942457866,4.75353131037355,0.7637076961167082,0.0049993334222103,0.7520425847982174,2.05087863398156,39.04609379971576,45.44497592431538,15.484536410495725,77.66291458914174,6.853923485383094,0.5023079325782904,14.772156731180806,8969567.32,13762,20.75303922906954,12840.314913844328
BENITO JUAREZ,26.63,Habitacional/Comercial,434153,424796,393387,88103,26615,3540,9,3517,12325,161564,176932,54507,305323,24493,4132,99203,20.293076403940542,6.130327327002232,0.8333411802371021,0.0021186640175519,0.8279268166366914,2.838860954548281,41.06998960311347,44.976575229989805,13.855821366745724,70.3261292677927,5.641559542373311,0.9517382121049492,22.849778764629058,13780118.64,29886,31.740235907617823,16303.15433721367
COYOACAN,54.4,Habitacional/Comercial,614447,599528,543990,110671,20232,7728,57,7630,11120,214160,247186,82270,463550,39559,2881,106925,18.011480241583083,3.2927168657345547,1.2890140243658346,0.009507479216984,1.272667832027862,1.8097573916057852,39.36837074210924,45.43943822496737,15.123439769113403,75.44182004306312,6.438146821450832,0.4688768925554197,17.40182635768423,7687908.29,32869,12.511914436883897,11294.98161764706
CUAUHTEMOC,32.4,Comercial/Servicios,545884,531293,480461,110598,28254,9062,66,8921,14780,204264,203930,71473,378996,40236,5277,119709,20.26034835239721,5.175824900528317,1.705650177962066,0.012422523918064,1.6791111495916566,2.707534934161836,42.514168683826576,42.4446521153642,14.875921250632205,69.42793707087954,7.370796726044361,0.9666888936110968,21.929384264788855,18401765.79,17289,33.71002958504004,16848.271604938273
GUSTAVO A. MADERO,87.65,Habitacional/Industrial,1173351,1137856,1007795,217362,39009,14196,109,13910,21697,385423,463694,158203,901136,90812,4796,174901,18.524891528621872,3.324580624212192,1.24760953934417,0.0095794195399066,1.222474548624782,1.8491482940739807,38.24418656572021,46.01074623311289,15.697934599794602,76.80020726960646,7.739542558023984,0.4087438456182335,14.906110788672782,13480100.57,25265,11.488549095709638,13386.776953793496
IZTACALCO,23.3,Habitacional/Industrial,404695,392990,350684,67280,15108,4412,37,4345,6941,134768,158916,56731,307375,32436,1938,62204,16.624865639555715,3.733181778870508,1.122674877223339,0.009414997837095,1.105626097356167,1.7151187931652232,38.43003957979264,45.3160109956542,16.177242189549563,75.95226034420983,8.014924819926117,0.4788791559075353,15.370587726559506,6260630.651,10172,15.46999753147432,17368.884120171675
IZTAPALAPA,117.0,Habitacional/Industrial,1835486,1777184,1550672,358708,42706,28716,305,28059,33313,576503,748864,224877,1384540,154092,6142,288659,19.542943939643237,2.3266862291512984,1.6158146821038226,0.017161982102022,1.5788460845922538,1.8149416557794504,37.17762363672008,48.292869156082006,14.501906270313777,75.43179299651428,8.395160736720412,0.3346252709091761,15.726570510480602,8313477.95,20777,4.52930610748325,15687.91452991453
MIGUEL HIDALGO,46.99,Habitacional/Comercial,414470,397362,359069,81931,27251,3593,24,3545,11262,144097,163915,50462,300662,24676,11228,70497,19.767655077568943,6.574902888025672,0.904213286625294,0.0060398326966343,0.8921336212320252,2.7172051053152217,40.13072696334131,45.65000041774701,14.053566306197416,72.54131782758704,5.9536275243081525,2.709001857794292,17.00895119067725,14490397.15,11403,34.96126897000989,8820.387316450307
MILPA ALTA,228.41,Rural/Reserva,152685,146847,124381,22536,2555,4891,31,4836,2231,41940,66737,15673,117841,10820,243,23565,14.759799587385794,1.6733798342993746,3.3306775078823536,0.0211104074308634,3.293223559214693,1.4611782427874382,33.71897637098914,53.65530105080359,12.60079915742758,77.17915970789534,7.086485247404788,0.1591511936339522,15.433736123391297,145411.88,624,0.9523651963192193,668.4689812179852
TLAHUAC,85.34,Habitacional/Rural,392313,378960,326890,67284,8946,4862,44,4798,7289,116646,165051,45138,297513,33237,923,60125,17.15059149199746,2.280322089759962,1.282985011610724,0.0116107240869748,1.2660966856660334,1.857955255115176,35.68356327816697,50.491296766496376,13.808314723607328,75.83562104747995,8.47206184857499,0.2352713267212659,15.325773043462746,829636.01,7842,2.11472984581189,4597.058823529412
TLALPAN,312.0,Habitacional/Reserva,699928,680536,599895,136812,21648,11884,87,11730,12245,221177,295011,83342,531983,52851,2478,111218,19.546581934141795,3.092889554354162,1.7462705867140018,0.012784040814887,1.723641365041673,1.7494656593249591,36.86928545828854,49.17710599354887,13.892764567132582,76.00538912573865,7.550919523150952,0.3540364151741322,15.889920106068054,4969014.65,31088,7.099322573178956,2243.358974358974
VENUSTIANO CARRANZA,33.4,Habitacional/Comercial,443704,430540,382101,70332,15100,4971,41,4882,10463,149211,170225,62370,337374,37618,2722,64898,15.851107945837766,3.4031696806880265,1.1545965531657918,0.0095229246992149,1.133924838574813,2.3581036005985974,39.05014642725353,44.54973946679019,16.322909387832013,76.0358256855922,8.478174638948488,0.6134720444260137,14.62641761174116,7169204.791,8791,16.157629390314263,13284.550898203594
XOCHIMILCO,122.0,Habitacional/Rural,442178,428220,373104,75178,8103,10662,91,10489,9830,132266,189809,50950,343974,32610,1297,63640,17.001750426298912,1.8325199354106263,2.4898416701695387,0.0212507589556769,2.449441875671384,2.2230866302710672,35.450169389768,50.87294695312835,13.655709936103609,77.79084441107427,7.374858088823958,0.2933207893653687,14.392394013270671,2034878.27,8866,4.601943719497578,3624.409836065574
